RSA,NOTAM,REMARK,MNM FL,MAX FL,WEF,UNT,FUA/EU RS,FIR,UIR
EPTR04B,,,000,095,14:30,15:00,EPTR04BR,,
EPTR04BZ,,,095,315,11:30,14:30,EPTR04BZR,,
EPTR04BZ,,,095,315,14:30,15:00,EPTR04BZR,,
EPTR04C,,,035,095,11:30,14:30,EPTR04CR,,
EPTR04C,,,065,095,14:30,15:00,EPTR04CR,,
EPTR04CZ,,,095,315,11:30,14:30,EPTR04CZR,,
EPTR04CZ,,,095,315,14:30,15:00,EPTR04CZR,,
EPTR04D,,,035,095,11:30,14:30,EPTR04DR,,
EPTR04D,,,065,095,14:30,15:00,EPTR04DR,,
EPTR04DZ,,,095,315,11:30,14:30,EPTR04DZR,,
EPTR04DZ,,,095,315,14:30,15:00,EPTR04DZR,,
EPTR04E,,,035,095,12:30,14:30,EPTR04ER,,
EPTR04E,,,035,095,11:30,12:30,EPTR04ER,,
EPTR04E,,,065,095,14:30,15:00,EPTR04ER,,
EPTR04EZ,,,095,245,12:30,14:30,EPTR04EZR,,
EPTR04EZ,,,095,315,11:30,12:30,EPTR04EZR,,
EPTR04EZ,,,095,315,14:30,15:00,EPTR04EZR,,
EPTR04F,,,000,095,12:30,14:30,EPTR04FR,,
EPTR04F,,,000,095,11:30,12:30,EPTR04FR,,
EPTR04F,,,000,095,14:30,15:00,EPTR04FR,,
EPTR04FZ,,,095,245,12:30,14:30,EPTR04FZR,,
EPTR04FZ,,,095,315,11:30,12:30,EPTR04FZR,,
EPTR04FZ,,,095,315,14:30,15:00,EPTR04FZR,,
EPTR04GZ,,,095,245,12:30,14:30,EPTR04GZR,,
EPTR04GZ,,,095,315,11:30,12:30,EPTR04GZR,,
EPTR04GZ,,,095,315,14:30,15:00,EPTR04GZR,,
EPTR04H,,,000,095,11:30,14:30,EPTR04HR,,
EPTR04H,,,000,095,14:30,15:00,EPTR04HR,,
EPTR04HZ,,,095,315,11:30,14:30,EPTR04HZR,,
EPTR04HZ,,,095,315,14:30,15:00,EPTR04HZR,,
EPTR04P,,,065,095,11:30,14:30,,,
EPTR04P,,,065,095,14:30,15:00,,,
EPTR05E,,,000,095,11:30,12:00,EPTR05ER,,
EPTR05EZ,,,095,125,11:30,12:00,"EPTR05EZRB, EPTR05EZRA",,
EPTR05G,,,015,095,11:30,12:00,,,
EPTR100,,,000,045,11:30,06:00,,,
EPTR101,,,000,045,11:30,06:00,,,
EPTR102,,,000,045,11:30,06:00,,,
EPTR103,,,000,040,11:30,06:00,,,
EPTR104,,,000,045,11:30,06:00,,,
EPTR105,,,000,045,11:30,06:00,,,
EPTR106,,,000,045,11:30,06:00,,,
EPTR107,,,000,050,11:30,06:00,,,
EPTR108,,,000,050,11:30,06:00,,,
EPTR109A,,,000,045,11:30,06:00,,,
EPTR109B,,,000,045,11:30,06:00,,,
EPTR10A,,,000,095,11:30,19:00,,,
EPTR10B,,,000,065,11:30,19:00,"EPTR10BRA, EPTR10BRB, EPTR10BRC, EPTR10BRD, EPTR10BRE",,
EPTR10C,,,000,065,11:30,19:00,"EPTR10CRA, EPTR10CRB, EPTR10CRC, EPTR10CRD, EPTR10CRE",,
EPTR10D,,,020,065,11:30,19:00,"EPTR10DRA, EPTR10DRB, EPTR10DRC, EPTR10DRD, EPTR10DRE",,
EPTR10E,,,020,065,11:30,19:00,"EPTR10ERA, EPTR10ERB, EPTR10ERC, EPTR10ERD, EPTR10ERE",,
EPTR10F,,,000,035,11:30,19:00,,,
EPTR110,,,000,045,11:30,06:00,,,
EPTR111,,,000,045,11:30,06:00,,,
EPTR112A,,,000,045,11:30,06:00,,,
EPTR112B,,,000,045,11:30,06:00,,,
EPTR113,,,000,045,11:30,06:00,,,
EPTR114,,,000,045,11:30,06:00,,,
EPTR115A,,,000,045,11:30,06:00,,,
EPTR115B,,,000,045,11:30,06:00,,,
EPTR116,,,000,045,11:30,06:00,,,
EPTR117,,,000,045,11:30,06:00,,,
EPTR118,,,000,045,11:30,06:00,,,
EPTR119,,,000,045,11:30,06:00,,,
EPTR11AZ,,,135,245,11:30,14:00,EPTR11AZR,,
